X,Y,fid,full_id,osm_id,osm_type,amenity,operator,name:te,name,healthcare,layer,path
78.529845,17.3444401,"1450",n6532267718,"6532267718",node,hospital,,,Sai Venkateshwara Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5209313,17.3693752,"1451",n6532274757,"6532274757",node,hospital,,,TKR's IKON Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.535367,17.3665529,"1452",n6532277404,"6532277404",node,hospital,,,Sri JRD Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.3129877,17.5022005,"1453",n6532278196,"6532278196",node,hospital,,,Sidhartha Nursing Home,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5340057,17.3716433,"1454",n6532315949,"6532315949",node,hospital,,,Raghava Hospital,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5267378,17.3681674,"1455",n6532327359,"6532327359",node,hospital,,,Harsha Neuro and General Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5213564,17.347104,"1456",n6532327920,"6532327920",node,hospital,,,Padmaja Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5299851,17.3689234,"1457",n6532335482,"6532335482",node,hospital,,,Anurag Orthopedic and Multispecial Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.531298,17.3334758,"1458",n6532342640,"6532342640",node,hospital,,,Krishna Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5747552,17.3358644,"1459",n6532347117,"6532347117",node,hospital,,,Rajya Lakshmi Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5206215,17.36803,"1460",n6532348899,"6532348899",node,hospital,,సిగ్మా హాస్పిటల్స్,Sigma Hospitals,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5685231,17.3286133,"1461",n6532378061,"6532378061",node,hospital,,,Sri Ramadevi Orthopaedic Hospital,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5314201,17.3694424,"1462",n6532379590,"6532379590",node,hospital,,,Goodlife Hospitals,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5678539,17.4455011,"1463",n6536327470,"6536327470",node,hospital,,,Aashritha Hospital,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
