X,Y,fid,id,left,top,right,bottom,row_index,col_index,pop_sum
78.3561619582935,17.5609161541481,"1","1489",218400.374930186,1944249.57810952,219400.374930186,1943249.57810952,"16","23",72.6924495697021
78.3559990796958,17.5407650485861,"2","1491",218400.374930186,1942249.57810952,219400.374930186,1941249.57810952,"18","23",252.111434936523
78.3484895301631,17.5318016408272,"3","1492",218400.374930186,1941249.57810952,219400.374930186,1940249.57810952,"19","23",4585.66935567558
78.3535401501451,17.5350518903363,"4","1492",218400.374930186,1941249.57810952,219400.374930186,1940249.57810952,"19","23",4585.66935567558
78.3524549522258,17.5263958868605,"5","1493",218400.374930186,1940249.57810952,219400.374930186,1939249.57810952,"20","23",11574.4127120972
78.35256230777,17.5173995864957,"6","1494",218400.374930186,1939249.57810952,219400.374930186,1938249.57810952,"21","23",10288.612859726
78.3526932482875,17.5083701992368,"7","1495",218400.374930186,1938249.57810952,219400.374930186,1937249.57810952,"22","23",7975.27317094058
78.3528241104752,17.4993408028253,"8","1496",218400.374930186,1937249.57810952,219400.374930186,1936249.57810952,"23","23",14886.7295031548
78.3529548943512,17.4903113972656,"9","1497",218400.374930186,1936249.57810952,219400.374930186,1935249.57810952,"24","23",16195.8046264648
78.3530855999333,17.4812819825618,"10","1498",218400.374930186,1935249.57810952,219400.374930186,1934249.57810952,"25","23",11162.4060969353
78.3532162272395,17.4722525587184,"11","1499",218400.374930186,1934249.57810952,219400.374930186,1933249.57810952,"26","23",9297.87037849426
78.3533467762879,17.4632231257397,"12","1500",218400.374930186,1933249.57810952,219400.374930186,1932249.57810952,"27","23",13337.6761906743
78.3534772470961,17.4541936836298,"13","1501",218400.374930186,1932249.57810952,219400.374930186,1931249.57810952,"28","23",4055.53942563385
78.3536076396824,17.4451642323932,"14","1502",218400.374930186,1931249.57810952,219400.374930186,1930249.57810952,"29","23",11556.819442749
78.3537379540644,17.436134772034,"15","1503",218400.374930186,1930249.57810952,219400.374930186,1929249.57810952,"30","23",10794.3885961771
78.3538681902601,17.4271053025567,"16","1504",218400.374930186,1929249.57810952,219400.374930186,1928249.57810952,"31","23",2328.82160336524
78.3539983482874,17.4180758239654,"17","1505",218400.374930186,1928249.57810952,219400.374930186,1927249.57810952,"32","23",8099.04524588585
78.3541284281641,17.4090463362646,"18","1506",218400.374930186,1927249.57810952,219400.374930186,1926249.57810952,"33","23",4434.88612124324
78.3542584299082,17.4000168394585,"19","1507",218400.374930186,1926249.57810952,219400.374930186,1925249.57810952,"34","23",4418.12579593062
78.3543883535373,17.3909873335514,"20","1508",218400.374930186,1925249.57810952,219400.374930186,1924249.57810952,"35","23",8459.42299950123
78.3545181990695,17.3819578185476,"21","1509",218400.374930186,1924249.57810952,219400.374930186,1923249.57810952,"36","23",5912.74851620197
78.3546479665224,17.3729282944514,"22","1510",218400.374930186,1923249.57810952,219400.374930186,1922249.57810952,"37","23",6100.10358715057
78.3547776559138,17.3638987612671,"23","1511",218400.374930186,1922249.57810952,219400.374930186,1921249.57810952,"38","23",745.666505619884
78.362120269577,17.5622915085344,"24","1553",219400.374930186,1944249.57810952,220400.374930186,1943249.57810952,"16","24",5031.16384914517
78.363470765729,17.5536923573563,"25","1554",219400.374930186,1943249.57810952,220400.374930186,1942249.57810952,"17","24",6327.89550590515
78.3621396740988,17.5443032404136,"26","1555",219400.374930186,1942249.57810952,220400.374930186,1941249.57810952,"18","24",10679.5075149536
78.3617119597235,17.5355839193446,"27","1556",219400.374930186,1941249.57810952,220400.374930186,1940249.57810952,"19","24",9081.1814109087
78.3618425922642,17.5265544816707,"28","1557",219400.374930186,1940249.57810952,220400.374930186,1939249.57810952,"20","24",6509.94158272818
78.3619731467167,17.5175250348422,"29","1558",219400.374930186,1939249.57810952,220400.374930186,1938249.57810952,"21","24",3073.32038518786
78.3621036230989,17.5084955788634,"30","1559",219400.374930186,1938249.57810952,220400.374930186,1937249.57810952,"22","24",12508.7886638641
78.3622340214288,17.4994661137386,"31","1560",219400.374930186,1937249.57810952,220400.374930186,1936249.57810952,"23","24",13442.4992361069
78.3623643417243,17.4904366394721,"32","1561",219400.374930186,1936249.57810952,220400.374930186,1935249.57810952,"24","24",13686.6722788811
78.3624945840033,17.4814071560681,"33","1562",219400.374930186,1935249.57810952,220400.374930186,1934249.57810952,"25","24",15434.9287586212
78.3626247482837,17.4723776635309,"34","1563",219400.374930186,1934249.57810952,220400.374930186,1933249.57810952,"26","24",14790.936340332
78.3627548345833,17.4633481618649,"35","1564",219400.374930186,1933249.57810952,220400.374930186,1932249.57810952,"27","24",10626.5892396271
78.3628848429201,17.4543186510744,"36","1565",219400.374930186,1932249.57810952,220400.374930186,1931249.57810952,"28","24",8983.50264301896
78.3630147733118,17.4452891311636,"37","1566",219400.374930186,1931249.57810952,220400.374930186,1930249.57810952,"29","24",14720.1363296509
78.3631446257764,17.4362596021368,"38","1567",219400.374930186,1930249.57810952,220400.374930186,1929249.57810952,"30","24",12823.8246545792
78.3632744003316,17.4272300639983,"39","1568",219400.374930186,1929249.57810952,220400.374930186,1928249.57810952,"31","24",8496.2078012228
78.3634040969954,17.4182005167524,"40","1569",219400.374930186,1928249.57810952,220400.374930186,1927249.57810952,"32","24",8752.23227292299
78.3635337157853,17.4091709604034,"41","1570",219400.374930186,1927249.57810952,220400.374930186,1926249.57810952,"33","24",2975.46381884813
78.3636632567193,17.4001413949556,"42","1571",219400.374930186,1926249.57810952,220400.374930186,1925249.57810952,"34","24",6150.62575688958
