X,Y,15
78.3561619582935,17.5609161541481,227.92
78.3559990796958,17.5407650485861,191.44
78.3484895301631,17.5318016408272,300.25
78.3535401501451,17.5350518903363,94.54
78.3524549522258,17.5263958868605,286.97
78.35256230777,17.5173995864957,277.33
78.3526932482875,17.5083701992368,59.26
78.3528241104752,17.4993408028253,140.43
78.3529548943512,17.4903113972656,111.42
78.3530855999333,17.4812819825618,338.88
78.3532162272395,17.4722525587184,294.13
78.3533467762879,17.4632231257397,67.69
78.3534772470961,17.4541936836298,195.96
78.3536076396824,17.4451642323932,102.9
78.3537379540644,17.436134772034,177.45
78.3538681902601,17.4271053025567,325.47
78.3539983482874,17.4180758239654,224.82
78.3541284281641,17.4090463362646,262.82
78.3542584299082,17.4000168394585,321.14
78.3543883535373,17.3909873335514,245.78
78.3545181990695,17.3819578185476,220.41
78.3546479665224,17.3729282944514,389.28
78.3547776559138,17.3638987612671,345.92
78.362120269577,17.5622915085344,265.0
78.363470765729,17.5536923573563,196.82
78.3621396740988,17.5443032404136,160.5
78.3617119597235,17.5355839193446,120.92
78.3618425922642,17.5265544816707,8.68
78.3619731467167,17.5175250348422,254.84
78.3621036230989,17.5084955788634,263.41
78.3622340214288,17.4994661137386,104.1
78.3623643417243,17.4904366394721,181.39
78.3624945840033,17.4814071560681,180.4
78.3626247482837,17.4723776635309,99.94
78.3627548345833,17.4633481618649,143.91
78.3628848429201,17.4543186510744,56.2
78.3630147733118,17.4452891311636,45.89
78.3631446257764,17.4362596021368,164.41
78.3632744003316,17.4272300639983,295.36
78.3634040969954,17.4182005167524,86.99
78.3635337157853,17.4091709604034,365.23
78.3636632567193,17.4001413949556,56.52
78.3637927198152,17.3911118204134,188.04
78.3639221050906,17.3820822367809,277.4
78.3640514125634,17.3730526440625,579.62
78.3641806422513,17.3640230422625,689.34
78.3643097941719,17.3549934313852,322.47
78.3708632367116,17.553768043974,391.21
78.3709935602188,17.5447385561201,181.22
78.3711238058796,17.5357090591096,284.16
78.3712539737119,17.5266795529468,48.38
78.3713840637336,17.5176500376358,216.83
78.3715140759626,17.5086205131811,150.58
78.3716440104167,17.4995909795869,181.33
78.3717738671139,17.4905614368575,201.54
78.3719036460719,17.4815318849972,219.89
78.3720333473085,17.4725023240102,212.07
78.3721629708416,17.4634727539009,91.87
78.372292516689,17.4544431746735,97.3
78.3724219848685,17.4454135863323,276.55
78.3725513753978,17.4363839888816,180.47
78.3726806882947,17.4273543823257,99.73
78.3728099235771,17.418324766669,96.85
78.3729390812624,17.4092951419156,178.63
78.3730681613687,17.4002655080699,122.71
78.3731971639134,17.3912358651361,327.18
78.3733260889144,17.3822062131186,336.27
78.3734549363894,17.3731765520217,289.33
78.3735837063559,17.3641468818496,322.03
78.3737123988317,17.3551172026066,342.33
78.3801461551696,17.5629224211486,335.85
78.3802760909817,17.5538928741912,476.14
78.3804059492072,17.5448633180794,198.25
78.3805357298641,17.5358337528174,388.15
78.3806654329702,17.5268041784097,145.41
78.3807950585432,17.5177745948603,61.37
78.3809246066012,17.5087450021737,94.09
78.3810540771617,17.4997154003541,50.49
78.3811834702426,17.4906857894058,112.66
78.3813127858618,17.481656169333,169.33
78.3814420240368,17.4726265401401,111.94
78.3815711847856,17.4635969018312,87.47
78.3817002681259,17.4545672544108,128.76
78.3818292740753,17.4455375978831,125.16
78.3819582026516,17.4365079322524,181.78
78.3820870538725,17.4274782575229,216.03
78.3822158277556,17.418448573699,272.84
78.3823445243187,17.409418880785,270.75
78.3824731435795,17.400389178785,11.78
78.3826016855554,17.3913594677035,332.75
78.3827301502643,17.3823297475446,480.82
78.3828585377237,17.3733000183128,295.39
78.3829868479513,17.3642702800122,196.98
78.3831150809645,17.3552405326472,204.15
78.3894300050423,17.5720764786502,527.36
78.3895595526035,17.5630468728246,410.99
78.3896890228383,17.5540172578468,358.64
78.3898184157643,17.5449876337212,235.36
78.3899477313995,17.5359580004519,253.45
78.3900769697615,17.5269283580433,239.45
78.3902061308681,17.5178987064995,223.73
78.3903352147371,17.508869045825,146.51
78.3904642213862,17.4998393760239,100.32
78.3905931508332,17.4908096971006,62.92
78.3907220030957,17.4817800090593,52.48
78.3908507781915,17.4727503119044,120.45
78.3909794761382,17.46372060564,246.6
78.3911080969536,17.4546908902704,147.9
78.3912366406552,17.4456611658,40.88
78.3913651072608,17.4366314322331,65.64
78.3914934967879,17.4276016895738,310.66
78.3916218092543,17.4185719378265,192.73
78.3917500446774,17.4095421769955,166.36
78.391878203075,17.400512407085,51.77
78.3920062844646,17.3914826280994,160.02
78.3921342888637,17.3824528400429,302.6
78.3922622162899,17.3734230429198,278.59
78.3923900667609,17.3643932367344,73.39
78.392517840294,17.355363421491,339.72
78.398714786921,17.5812302157453,527.04
78.3988439456757,17.572200551287,504.43
78.3989730273639,17.5631708776787,398.25
